m/z,intensity,ions_base_sc
157.09723,29186.0,
157.13338,4569.3,
166.12273,42159.5,
167.11824,4102.5,
169.13361,81941.6,
170.13712,4326.4,
171.11339,5712.5,
173.09222,6809.2,
173.12857,9263.1,
173.40793,9687.8,
174.12411,8266.7,
175.11913,7389.6,
183.11287,3878.6,
183.14922,3089.2,
185.12889,3747.2,
185.16533,3766.7,
197.12846,30478.6,
198.13161,2432.1,
199.10762,8081.1,
201.12329,6858.1,
212.13953,3514.5,
217.08177,2909.9,
219.14929,5261.1,
226.11882,22553.7,
230.14999,14159.1,
232.11157,15332.4,
234.12273,4030.1,
240.13434,11089.6,
246.12758,12168.9,
248.16061,46559.9,Ay2+[N]
249.09863,3592.6,
249.16344,5548.6,
251.1506,24229.4,
257.09589,7915.3,
258.14487,6166.8,
260.10672,15021.2,
264.53653,2815.0,
266.14963,2687.5,
267.10895,26094.1,
272.10693,3982.1,
274.12219,45385.8,
275.12479,4796.1,
280.16571,3905.6,
282.18152,12263.1,
284.16086,5869.7,
289.13266,7160.3,
292.16592,2886.5,
297.19223,10810.1,
298.17596,5275.6,
300.10181,7438.5,
308.16113,10191.8,
312.19147,3339.2,
317.1279,106313.2,
318.13049,10404.0,
319.12488,2905.1,
322.17688,9868.3,
325.18716,49506.3,
326.19,6191.3,
329.21817,6076.9,
340.18732,7630.7,
341.18414,2977.8,
346.18088,2997.2,
346.20334,6894.5,
347.22916,31120.7,Ay3+[N]
348.23172,4522.4,
350.21854,19025.4,
359.19189,4714.7,
371.17468,8313.5,
373.19031,28751.5,
374.19431,3784.9,
380.19327,16743.9,
383.19174,3911.1,
385.20981,3594.3,
388.19943,3929.4,
391.19894,4556.0,
395.20322,15586.2,
399.16953,9275.0,
401.20181,4416.1,
403.70477,3162.9,
407.75769,2815.0,
413.20441,10098.3,
416.1962,53936.7,
416.71255,3721.6,
417.19989,9728.0,
423.22534,2806.8,
425.21796,5489.0,
425.72235,4930.3,
426.23557,6816.8,
427.21906,23232.6,
428.21805,4107.7,
429.95389,3385.8,
434.21451,3340.7,
434.72076,11113.1,
435.22568,3085.9,
435.25815,11999.0,
439.25485,4092.4,
440.73883,8671.0,
441.23761,5316.3,
444.26306,97598.0,Ay8++[sc]
444.76514,29463.6,
457.31384,3409.2,
459.23419,4037.1,
460.233,14100.9,
461.233,4048.0,
466.74023,3531.7,
467.25378,4468.5,
469.2489,3335.7,
473.2522,5240.0,
475.32425,22285.4,Ay4+[sc]
475.74326,5709.8,
476.27872,9911.5,
476.32465,4158.4,
476.77832,4743.2,
478.24359,2805.6,
479.26004,13540.9,
481.75403,19092.1,
482.25494,20101.4,
482.76117,3467.6,
483.24652,4922.0,
485.28433,141847.8,Ay8++[sz]
485.78561,62061.1,
486.28455,9045.3,
489.26828,3946.3,
490.25128,2711.1,
490.75421,3388.8,
491.26331,31256.8,
491.76474,6536.3,
494.7872,11499.1,Ay9++[sc];Ay0++[sc]
495.25012,6868.8,
495.29022,5881.5,
495.75186,3079.2,
496.24744,6149.2,
498.7688,7686.1,
502.25455,3845.8,
503.7616,14322.5,By8++[sz];By0++[sz]
504.25571,13271.0,
504.75238,5442.0,
508.28662,8135.9,
509.28314,3511.6,
509.78146,3532.1,
510.24994,14267.3,
510.76862,3713.7,
512.76587,17112.6,
513.26715,8115.9,
517.79608,3237.3,
518.28735,4587.5,
518.78809,3956.2,
523.27924,14432.5,
523.78149,5762.1,
525.79266,2906.4,
526.28741,14335.7,
526.63458,4239.2,
526.80249,23265.2,
527.30243,17394.5,
527.80585,4062.3,
529.28027,15153.3,
530.28339,4580.3,
530.78363,5679.5,
531.28143,3862.2,
532.28345,16154.2,
532.78229,8722.2,
535.80823,21702.5,Ay9++[sz];Ay0++[sz]
536.30969,7372.3,
539.28168,3539.2,
539.78735,5997.9,
541.29755,22622.5,
542.30066,4235.4,
543.31293,2914.2,
544.77771,4823.5,
545.28827,7802.4,
545.33942,3242.5,
545.77686,5023.2,
547.29657,4588.8,
553.78693,8954.1,
557.36542,24316.8,Ay4+[sz]
558.37061,6524.1,
559.65967,6663.0,
559.99249,3903.8,
560.28278,7328.3,
561.29077,5146.2,
563.30701,2958.9,
565.30402,4033.7,
573.31299,9444.9,
574.32153,5017.8,
575.3269,5705.8,
578.29376,12024.2,
580.31885,4637.1,
580.81586,4730.9,
580.97797,3815.6,
588.31659,7653.7,
589.32257,3149.6,
590.3302,11080.7,
593.30707,3644.4,
595.33472,6182.1,
596.82764,6189.1,
597.32916,5869.8,
598.98993,4152.3,
602.31897,4825.5,
602.82251,4384.1,
604.36493,12668.0,
606.99817,10045.5,
607.35315,10829.2,
607.66162,3409.4,
607.99567,3601.1,
608.35663,4084.9,
609.33301,25016.9,By5+[sc]
610.33673,4755.9,
610.82581,6215.7,
613.00177,19518.3,
613.3324,17714.1,
613.66907,10464.8,
619.32251,3772.5,
622.3537,10796.2,
623.33728,21731.6,
624.33942,8249.9,
626.33154,4136.9,
630.33722,2953.3,
631.67389,5745.2,
636.01892,7273.4,
636.35535,10537.7,
636.68561,5169.2,
638.34271,5527.6,
639.29169,23478.2,
640.30261,5577.4,
640.36639,27485.8,
641.37018,9895.2,
642.35291,3620.5,
