m/z,intensity,ions_base_sc
158.09335,2440.1,
162.6808,2176.4,
166.12268,4650.5,
173.40208,66774.1,
175.11888,22002.9,By1+[N]
176.12245,3807.8,
227.04776,3613.4,
236.42526,2838.8,
239.11317,6088.0,
258.14514,3809.0,
262.08536,21130.3,Ab2+[N]
263.08847,3529.9,
270.14453,10173.1,
299.12381,3019.3,
312.17758,9296.1,
325.81842,2832.6,
361.15436,8806.8,
383.21448,10573.7,
407.20993,3276.6,
436.18387,5969.1,
461.75778,3732.2,
493.20642,13023.8,Ay4+[N]
494.21106,4958.2,
496.2991,10061.2,
497.30209,3984.3,
509.86322,3014.0,
530.28644,3634.1,
547.21716,2671.4,
556.26898,2713.1,
564.24414,17004.9,Ay5+[N]
565.2475,4959.3,
580.81256,24220.0,
581.31311,23179.8,
581.81378,15439.6,
643.23505,2869.5,
670.84149,4221.4,
671.34283,4214.7,
679.34631,32908.1,
679.84808,44652.8,
679.90765,3450.1,
680.34943,27097.8,
680.85046,10987.6,
701.30371,7362.3,
712.37323,34133.4,
713.37512,14022.3,
714.37781,4827.1,
759.02551,5572.2,
759.35516,4507.0,
776.66138,3026.1,
788.33649,7753.9,Ay7+[N]
789.33997,4744.5,
789.47211,11095.8,
790.47662,5871.0,
797.37146,2939.3,
797.6983,3367.5,
811.45123,5228.1,
842.05652,3281.0,
854.40222,6106.7,
862.39319,7161.8,
875.40601,4347.0,
875.73865,11834.7,
876.06915,7723.5,
876.40039,4321.7,
892.72729,8456.8,Bb10+++[pepA]
893.05353,4203.5,
893.72864,4587.7,
898.39911,3805.1,
899.37671,4117.3,
902.07513,5541.4,
908.07996,7777.1,
911.08783,7743.8,
921.08643,3963.0,
922.50757,13113.1,
923.51257,15606.0,
926.75256,6841.9,
929.75677,4598.9,
930.43292,3545.3,
935.42419,26918.2,
935.75714,36337.5,
936.09375,9528.2,
936.41583,4026.5,
940.76147,4575.4,
941.09473,33127.4,
941.4281,167492.4,
941.76227,132181.9,
942.09607,56838.8,
942.43237,21877.5,
942.76654,4939.7,
950.52563,21709.6,
951.51892,13761.3,
1052.48914,5050.4,
1055.95605,7548.3,
1060.56787,3955.4,
1061.48804,3678.3,
1090.46997,3919.0,
1090.6001,4149.2,
1115.521,3599.9,
1120.51379,6623.4,Bb6++[pepA]
1121.00439,4384.4,
1129.01404,4829.8,
1129.52625,10544.7,
1130.01379,4410.1,
1130.52417,4770.4,
1137.53687,4122.7,
1138.01794,6235.1,
1138.53662,13777.6,
1139.03357,7737.4,
1160.6123,8150.4,
1161.61414,6887.2,
1162.62146,4133.4,
1165.03406,3599.8,
1165.53748,4064.0,
1186.54407,4452.4,
1193.54419,5840.6,
1194.04822,6685.3,
1194.55908,4681.6,
1195.05518,3967.3,
1195.54346,5803.6,
1196.0498,12232.1,
1196.54297,8357.2,
1197.04211,4055.3,
1220.5293,4462.5,
1222.56055,6786.0,
1223.06128,4060.6,
1230.55444,3547.6,
1231.06323,9436.0,
1231.56665,10958.6,
1232.06665,10131.5,
1232.55615,3715.4,
1280.10791,4506.4,
1280.59717,8578.7,
1281.0979,22409.2,
1281.60059,17430.6,
1282.09656,7029.2,
1324.58557,10514.5,
1357.68372,7339.6,
1358.68652,8106.1,
1376.70142,4125.2,
1399.56555,4135.1,
1463.58716,12079.3,Ay13+[sc];Ay0+[sc]
1464.5896,16336.6,
1465.59143,18418.3,
1466.5929,7246.0,
1661.66895,7187.1,
1662.65686,6838.0,
