m/z,intensity,ions_base_sc
166.12276,12430.2,
173.40901,8822.6,
185.16499,132674.5,
186.16846,16044.7,
191.42906,2320.3,
200.13943,3560.6,
201.12349,6129.5,
203.20192,2539.0,
213.16,53857.0,
214.16336,5013.4,
217.08235,4592.7,
218.14999,11913.9,
242.18546,2952.6,
244.16562,7094.5,
256.72336,2653.2,
314.2081,11473.4,
327.19781,3391.1,
330.16736,4625.1,
331.23428,22256.6,Ay3+[N]
332.23676,3343.0,
337.20377,9327.0,
338.20544,2813.5,
374.05246,2782.5,
394.71643,20461.0,Ay7++[N]
395.21887,5580.0,
411.22519,5609.3,
429.23465,16033.3,
430.23712,4093.4,
443.2496,5943.8,
452.7316,3324.8,
503.00848,3247.4,
513.27338,2895.8,
514.32245,4533.0,
517.29907,3058.7,
542.31921,6106.7,
567.76416,7677.3,
600.28247,5879.8,
623.33667,4194.0,
641.35345,4593.0,
644.2699,3177.3,
653.63788,4773.5,
662.80255,3432.5,
668.32587,3202.7,
673.39893,9658.7,
688.83002,3185.7,Ay12++[N]
689.32532,2981.6,
707.30548,4987.7,
722.40619,5932.7,
740.41937,7811.3,
741.42432,4783.5,
745.36926,14866.6,Ay13++[N]
745.87195,11579.4,
746.37384,8273.8,
785.13202,3891.5,
785.63104,6207.6,
788.42682,15524.3,Ay7+[N]
789.42816,7303.4,
802.888,4411.3,
810.14685,4558.8,
810.39447,8403.8,
813.88293,4066.5,
814.13721,5936.1,
824.38586,4436.9,
826.37262,3754.1,Ab20+++[sz]
826.70392,4071.8,
827.03363,4618.2,
831.39551,13349.1,Ay15++[N]
831.89368,11178.5,
832.39496,5385.9,
834.64191,7026.7,
834.89594,6490.0,
835.40991,4388.3,
837.4173,4084.8,
838.64337,6714.6,
838.89691,17623.0,
839.14618,42306.1,
839.39801,38844.6,
839.64807,24135.1,
839.90045,3564.5,
841.40283,14780.1,
841.73419,8987.7,
846.39832,3699.7,
849.15277,3662.1,
853.90192,4422.5,
858.92249,3436.3,
859.40588,18253.2,
859.65997,13185.2,
859.90729,20175.3,
860.1579,10919.6,
863.66162,5172.4,
863.91046,30848.9,
864.15991,54427.8,
864.41077,56185.6,
864.66052,42782.0,
864.91241,10385.3,
865.15918,4129.7,
866.05225,4753.1,
867.16406,5091.7,
867.41895,8268.6,
867.67859,4058.8,
867.92365,4506.1,
871.71918,10314.7,
872.05573,10002.8,
872.38806,8399.0,
872.71283,4609.4,
883.18396,4228.2,
884.42572,8894.3,
884.67523,3776.8,
884.92456,5434.4,
886.43188,3122.3,
887.43793,7156.3,
887.68402,16500.4,
887.9325,26692.7,
888.18195,17625.8,
888.43646,11187.2,
888.67358,7321.2,
888.92377,5928.9,
889.42963,11250.3,
890.43298,3558.6,
891.41577,4286.0,
891.9339,39594.4,
